Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th
10/22/2024,LAL (1-0),MIN (0-1),,,,,,,,,,,,,
10/23/2024,GSW (1-0) T1,LAL (1-0) T1,MEM (1-0) T1,NOP (1-0) T1,PHO (1-0) T1,HOU (0-1) T6,LAC (0-1) T6,MIN (0-1) T6,POR (0-1) T6,UTA (0-1) T6,,,,,
10/24/2024,DAL (1-0) T1,GSW (1-0) T1,LAL (1-0) T1,MEM (1-0) T1,NOP (1-0) T1,OKC (1-0) T1,PHO (1-0) T1,MIN (1-1),DEN (0-1) T9,HOU (0-1) T9,LAC (0-1) T9,POR (0-1) T9,SAC (0-1) T9,SAS (0-1) T9,UTA (0-1) T9
10/25/2024,GSW (2-0) T1,LAL (2-0) T1,NOP (2-0) T1,DAL (1-0) T1,OKC (1-0) T1,HOU (1-1) T6,MEM (1-1) T6,MIN (1-1) T6,PHO (1-1) T6,DEN (0-1) T10,LAC (0-1) T10,POR (0-2) T10,SAC (0-1) T10,SAS (0-1) T10,UTA (0-2) T10
10/26/2024,LAL (3-0) T1,GSW (2-0) T1,NOP (2-0) T1,OKC (2-0) T1,MEM (2-1) T5,MIN (2-1) T5,PHO (2-1) T5,DAL (1-1) T8,LAC (1-1) T8,SAS (1-1) T8,HOU (1-2),DEN (0-2) T12,POR (0-2) T12,SAC (0-2) T12,UTA (0-2) T12
10/27/2024,LAL (3-0) T1,OKC (3-0) T1,GSW (2-1) T3,LAC (2-1) T3,MEM (2-1) T3,MIN (2-1) T3,NOP (2-1) T3,PHO (2-1) T3,DAL (1-1) T9,SAS (1-1) T9,HOU (1-2) T11,POR (1-2) T11,DEN (0-2) T13,SAC (0-2) T13,UTA (0-2) T13
10/28/2024,OKC (3-0),LAL (3-1) T2,PHO (3-1) T2,DAL (2-1) T4,GSW (2-1) T4,LAC (2-1) T4,MIN (2-1) T4,NOP (2-1) T4,HOU (2-2) T9,MEM (2-2) T9,DEN (1-2) T11,SAC (1-2) T11,SAS (1-2) T11,POR (1-3),UTA (0-3)
10/29/2024,OKC (3-0),DAL (3-1) T2,GSW (3-1) T2,LAL (3-1) T2,PHO (3-1) T2,LAC (2-1),DEN (2-2) T7,HOU (2-2) T7,MEM (2-2) T7,MIN (2-2) T7,NOP (2-2) T7,SAC (2-2) T7,SAS (1-2),POR (1-3),UTA (0-4)
10/30/2024,OKC (4-0),GSW (4-1),DAL (3-1) T3,PHO (3-1) T3,LAL (3-2),DEN (2-2) T6,HOU (2-2) T6,LAC (2-2) T6,MIN (2-2) T6,SAC (2-2) T6,MEM (2-3) T11,NOP (2-3) T11,POR (2-3) T11,SAS (1-3),UTA (0-4)
10/31/2024,OKC (4-0),GSW (4-1) T2,PHO (4-1) T2,DAL (3-2) T4,HOU (3-2) T4,LAL (3-2) T4,MEM (3-3) T7,DEN (2-2) T7,MIN (2-2) T7,SAC (2-2) T7,LAC (2-3) T11,NOP (2-3) T11,POR (2-3) T11,SAS (2-3) T11,UTA (0-5)
11/1/2024,OKC (5-0),GSW (4-1) T2,PHO (4-1) T2,LAL (4-2),DAL (3-2) T5,HOU (3-2) T5,MIN (3-2) T5,SAC (3-2) T5,MEM (3-3) T9,NOP (3-3) T9,DEN (2-3) T11,LAC (2-3) T11,SAS (2-3) T11,POR (2-4),UTA (0-5)
11/2/2024,OKC (6-0),GSW (5-1) T2,PHO (5-1) T2,LAL (4-2),DAL (3-2),MEM (4-3),DEN (3-3) T7,HOU (3-3) T7,MIN (3-3) T7,NOP (3-3) T7,SAC (3-3) T7,SAS (3-3) T7,LAC (2-4),POR (2-5),UTA (0-6)
11/3/2024,OKC (6-0),GSW (5-1) T2,PHO (5-1) T2,DAL (4-2) T4,LAL (4-2) T4,MEM (4-3),DEN (3-3) T7,HOU (3-3) T7,MIN (3-3) T7,SAC (3-3) T7,SAS (3-3) T7,NOP (3-4),LAC (2-4),POR (2-5),UTA (0-6)
11/4/2024,OKC (7-0),GSW (6-1) T2,PHO (6-1) T2,DAL (4-3) T4,DEN (4-3) T4,HOU (4-3) T4,LAL (4-3) T4,MIN (4-3) T4,SAC (4-3) T4,MEM (4-4),LAC (3-4) T11,SAS (3-4) T11,NOP (3-5) T13,POR (3-5) T13,UTA (1-6)
