Player,Team,Games,Minutes,FGA,Points,FGA_per_game,MPG,TS%,eFG%
Jarrett Allen,CLE,82,28,7.8,13.5,0.1,0.3,0.724,0.706
Adem Bona,PHI,58,15.6,3.3,5.8,0.06,0.3,0.714,0.703
Jalen Duren,DET,78,26.1,7,11.8,0.09,0.3,0.703,0.692
Rudy Gobert,MIN,72,33.2,7.1,12.0,0.1,0.5,0.687,0.669
Luke Kornet,BOS,73,18.6,3.8,6.0,0.05,0.3,0.683,0.668
Neemias Queta,BOS,62,13.9,3.3,5.0,0.05,0.2,0.674,0.65
Jay Huff,MEM,64,11.7,4.8,6.9,0.07,0.2,0.666,0.648
Christian Braun,DEN,79,33.9,10.4,15.4,0.13,0.4,0.665,0.634
Keon Ellis,SAC,80,24.4,5.8,8.3,0.07,0.3,0.664,0.639
Nikola Jokić,DEN,70,36.7,19.5,29.6,0.28,0.5,0.663,0.627
Walker Kessler,UTA,58,30,7.2,11.1,0.12,0.5,0.66,0.671
Harrison Barnes,SAS,82,27.2,8.3,12.3,0.1,0.3,0.656,0.622
Domantas Sabonis,SAC,70,34.7,12.8,19.1,0.18,0.5,0.655,0.627
Mason Plumlee,PHO,74,17.6,2.7,4.5,0.04,0.2,0.645,0.619
Ty Jerome,CLE,70,19.9,8.8,12.5,0.13,0.3,0.643,0.606
Kevin Durant,PHO,62,36.5,18.1,26.6,0.29,0.6,0.642,0.598
Zach LaVine,2TM,74,35.2,16.5,23.3,0.22,0.5,0.642,0.609
Obi Toppin,IND,79,19.6,7.6,10.5,0.1,0.2,0.642,0.621
Ivica Zubac,LAC,80,32.8,11.8,16.8,0.15,0.4,0.641,0.628
Zach LaVine,2TM,74,35.2,16.5,23.3,0.22,0.5,0.639,0.609
Brandon Clarke,MEM,64,18.9,5.9,8.3,0.09,0.3,0.638,0.622
Zach LaVine,2TM,74,35.2,16.5,23.3,0.22,0.5,0.637,0.609
Shai Gilgeous-Alexander,OKC,76,34.2,21.8,32.7,0.29,0.5,0.637,0.569
Zach Collins,2TM,64,15.3,4.7,6.4,0.07,0.2,0.635,0.56
Gary Payton II,GSW,62,15,4.8,6.5,0.08,0.2,0.635,0.626
