Player,eFG_Percentage,TS_Percentage,FGA_per_game,MP_per_game
Adem Bona,0.703,0.714,0.0568965517241379,15.6
Luke Kornet,0.668,0.683,0.0520547945205479,18.6
Neemias Queta,0.65,0.674,0.0532258064516129,13.9
Jay Huff,0.648,0.666,0.075,11.7
Mason Plumlee,0.619,0.645,0.0364864864864865,17.6
Ty Jerome,0.606,0.643,0.125714285714286,19.9
Obi Toppin,0.621,0.642,0.0962025316455696,19.6
Brandon Clarke,0.622,0.638,0.0921875,18.9
Gary Payton II,0.626,0.635,0.0774193548387097,15
Zach Collins,0.56,0.635,0.0734375,15.3
Nicolas Batum,0.622,0.633,0.0397435897435897,17.5
Drew Eubanks,0.601,0.632,0.0524590163934426,12.2
Sandro Mamukelashvili,0.609,0.628,0.0754098360655738,11.2
Thomas Bryant,0.583,0.624,0.0742424242424242,14.6
Isaiah Stewart,0.586,0.616,0.0611111111111111,19.9
Kevin Porter Jr.,0.492,0.616,0.116,19.8
Seth Curry,0.599,0.616,0.0735294117647059,15.6
Oso Ighodaro,0.604,0.61,0.0508196721311475,17.1
Moussa Diabaté,0.596,0.609,0.0549295774647887,17.5
Caleb Houstan,0.589,0.605,0.0568965517241379,13.6
